Month,state,district,demo_age_5_17,demo_age_17_,total_demo_updates,youth_update_share,adult_update_share,adult_update_dominance,youth_update_rate,state_avg_demo_updates,DUII
Apr-25,West Bengal,Koch Bihar,19,3069,3088,0.00615285,0.99384715,161.5263158,0.00615285,3011.52381,1.025394516
Jan-25,Maharashtra,Bid,2,318,320,0.00625,0.99375,159,0.00625,24049.42,0.013305934
Mar-25,West Bengal,Koch Bihar,16,2475,2491,0.006423123,0.993576877,154.6875,0.006423123,2158.977273,1.153787041
Oct-25,West Bengal,West Midnapore,10,1546,1556,0.006426735,0.993573265,154.6,0.006426735,3190.674419,0.487671193
Apr-25,West Bengal,South Dinajpur,3,459,462,0.006493506,0.993506494,153,0.006493506,3011.52381,0.153410708
Oct-25,West Bengal,South Dinajpur,2,305,307,0.006514658,0.993485342,152.5,0.006514658,3190.674419,0.096217902
Nov-25,West Bengal,Koch Bihar,19,2896,2915,0.00651801,0.99348199,152.4210526,0.00651801,2751.222222,1.059529098
Feb-25,West Bengal,Darjiling,2,288,290,0.006896552,0.993103448,144,0.006896552,3096.586957,0.093651496
Dec-25,Punjab,S.A.S Nagar(Mohali),1,143,144,0.006944444,0.993055556,143,0.006944444,891.6666667,0.161495327
Jul-25,West Bengal,West Midnapore,7,977,984,0.007113821,0.992886179,139.5714286,0.007113821,1605.4,0.612931357
Jun-25,West Bengal,Haora,14,1950,1964,0.00712831,0.99287169,139.2857143,0.00712831,3288.702128,0.597196074
Aug-25,West Bengal,Koch Bihar,24,3308,3332,0.007202881,0.992797119,137.8333333,0.007202881,3444.666667,0.967292433
Jan-25,Maharashtra,Buldana,6,826,832,0.007211538,0.992788462,137.6666667,0.007211538,24049.42,0.034595429
May-25,West Bengal,South Dinajpur,2,274,276,0.007246377,0.992753623,137,0.007246377,1941.363636,0.142168111
Oct-25,West Bengal,Koch Bihar,24,3270,3294,0.007285974,0.992714026,136.25,0.007285974,3190.674419,1.032383618
Jul-25,West Bengal,Koch Bihar,10,1338,1348,0.007418398,0.992581602,133.8,0.007418398,1605.4,0.839666127
Sep-25,West Bengal,Koch Bihar,15,2006,2021,0.007422068,0.992577932,133.7333333,0.007422068,2100.195122,0.962291541
Feb-25,West Bengal,Koch Bihar,24,3113,3137,0.007650622,0.992349378,129.7083333,0.007650622,3096.586957,1.013050834
Jun-25,Maharashtra,Ahmed Nagar,2,258,260,0.007692308,0.992307692,129,0.007692308,3194.039216,0.08140163
Jun-25,West Bengal,Koch Bihar,28,3572,3600,0.007777778,0.992222222,127.5714286,0.007777778,3288.702128,1.094656755
Aug-25,Punjab,Nawanshahr,1,125,126,0.007936508,0.992063492,125,0.007936508,797.3703704,0.158019416
Jul-25,Maharashtra,Chandrapur,40,4926,4966,0.008054772,0.991945228,123.15,0.008054772,2690.72549,1.845598898
May-25,Punjab,Muktsar,1,121,122,0.008196721,0.991803279,121,0.008196721,586.5185185,0.208007072
Apr-25,Maharashtra,Buldana,12,1447,1459,0.008224812,0.991775188,120.5833333,0.008224812,3964.18,0.368045851
Dec-25,West Bengal,Koch Bihar,30,3576,3606,0.008319468,0.991680532,119.2,0.008319468,3227.456522,1.117288483
Dec-25,West Bengal,North Twenty Four Parganas,10,1187,1197,0.008354219,0.991645781,118.7,0.008354219,3227.456522,0.370880287
Mar-25,Maharashtra,Bid,5,579,584,0.008561644,0.991438356,115.8,0.008561644,3640.86,0.160401663
Mar-25,West Bengal,North Twenty Four Parganas,6,690,696,0.00862069,0.99137931,115,0.00862069,2158.977273,0.322374862
Apr-25,Rajasthan,Jhunjhunu,1,114,115,0.008695652,0.991304348,114,0.008695652,1144.021739,0.100522565
Feb-25,Karnataka,Davanagere,1,111,112,0.008928571,0.991071429,111,0.008928571,724.3137255,0.154629128
Aug-25,West Bengal,Haora,22,2419,2441,0.0090127,0.9909873,109.9545455,0.0090127,3444.666667,0.708631701
Sep-25,West Bengal,North Dinajpur,2,217,219,0.00913242,0.99086758,108.5,0.00913242,2100.195122,0.104276025
Mar-25,West Bengal,Darjiling,2,217,219,0.00913242,0.99086758,108.5,0.00913242,2158.977273,0.101436918
Dec-25,Rajasthan,Chittaurgarh,1,107,108,0.009259259,0.990740741,107,0.009259259,1333.282609,0.081003082
Sep-25,West Bengal,Bardhaman,7,735,742,0.009433962,0.990566038,105,0.009433962,2100.195122,0.353300506
Mar-25,Maharashtra,Gondiya *,1,105,106,0.009433962,0.990566038,105,0.009433962,3640.86,0.029114001
Apr-25,West Bengal,Haora,16,1676,1692,0.009456265,0.990543735,104.75,0.009456265,3011.52381,0.561841814
Mar-25,West Bengal,Bardhaman,8,827,835,0.009580838,0.990419162,103.375,0.009580838,2158.977273,0.386757198
Dec-25,Maharashtra,Ahmed Nagar,3,308,311,0.009646302,0.990353698,102.6666667,0.009646302,4660.72549,0.066727809
Dec-25,Maharashtra,Buldana,17,1730,1747,0.009730967,0.990269033,101.7647059,0.009730967,4660.72549,0.374834348
Apr-25,Maharashtra,Bid,7,708,715,0.00979021,0.99020979,101.1428571,0.00979021,3964.18,0.18036517
Nov-25,West Bengal,North Dinajpur,2,202,204,0.009803922,0.990196078,101,0.009803922,2751.222222,0.074148863
Aug-25,Maharashtra,Bid,4,400,404,0.00990099,0.99009901,100,0.00990099,3278.882353,0.123212716
Apr-25,Maharashtra,Gondiya *,1,99,100,0.01,0.99,99,0.01,3964.18,0.025225898
Oct-25,West Bengal,Haora,17,1679,1696,0.010023585,0.989976415,98.76470588,0.010023585,3190.674419,0.531549064
Dec-25,West Bengal,South Dinajpur,3,289,292,0.010273973,0.989726027,96.33333333,0.010273973,3227.456522,0.090473721
Sep-25,West Bengal,Haora,12,1155,1167,0.010282776,0.989717224,96.25,0.010282776,2100.195122,0.555662656
Aug-25,Madhya Pradesh,Mauganj,1,95,96,0.010416667,0.989583333,95,0.010416667,1074.35,0.089356355
Feb-25,Punjab,Nawanshahr,1,95,96,0.010416667,0.989583333,95,0.010416667,528.2222222,0.181741691
Oct-25,Andhra Pradesh,Mahabub Nagar,5,474,479,0.010438413,0.989561587,94.8,0.010438413,910.0222222,0.526360773
Feb-25,West Bengal,West Midnapore,18,1704,1722,0.010452962,0.989547038,94.66666667,0.010452962,3096.586957,0.556096123
Oct-25,Karnataka,Davanagere,1,94,95,0.010526316,0.989473684,94,0.010526316,709.5192308,0.133893482
Jun-25,Odisha,Khordha,2,186,188,0.010638298,0.989361702,93,0.010638298,754.2926829,0.249240122
Nov-25,West Bengal,South Twenty Four Parganas,18,1664,1682,0.010701546,0.989298454,92.44444444,0.010701546,2751.222222,0.611364646
Dec-25,Jharkhand,Purbi Singhbhum,3,276,279,0.010752688,0.989247312,92,0.010752688,1310.909091,0.212829404
Aug-25,Karnataka,Davanagere,2,183,185,0.010810811,0.989189189,91.5,0.010810811,1028.730769,0.179833252
Apr-25,West Bengal,Bardhaman,12,1088,1100,0.010909091,0.989090909,90.66666667,0.010909091,3011.52381,0.365263591
Nov-25,Rajasthan,Chittaurgarh,1,90,91,0.010989011,0.989010989,90,0.010989011,1179.413043,0.077157024
Sep-25,Jharkhand,Purbi Singhbhum,2,179,181,0.011049724,0.988950276,89.5,0.011049724,953.4848485,0.18982997
Dec-25,West Bengal,Haora,20,1789,1809,0.011055832,0.988944168,89.45,0.011055832,3227.456522,0.56050329
Dec-25,Rajasthan,Jalore,1,89,90,0.011111111,0.988888889,89,0.011111111,1333.282609,0.067502568
Jan-25,Delhi,North East,37,3293,3330,0.011111111,0.988888889,89,0.011111111,80753,0.041236858
Jul-25,Maharashtra,Yavatmal,60,5302,5362,0.011189855,0.988810145,88.36666667,0.011189855,2690.72549,1.992771102
May-25,West Bengal,Haora,10,878,888,0.011261261,0.988738739,87.8,0.011261261,1941.363636,0.457410443
Aug-25,West Bengal,Bardhaman,17,1472,1489,0.011417058,0.988582942,86.58823529,0.011417058,3444.666667,0.432262435
Sep-25,Punjab,Nawanshahr,1,85,86,0.011627907,0.988372093,85,0.011627907,488.8888889,0.175909091
Jan-25,Punjab,Nawanshahr,1,85,86,0.011627907,0.988372093,85,0.011627907,15558.59259,0.005527492
Jun-25,West Bengal,Darjiling,4,339,343,0.011661808,0.988338192,84.75,0.011661808,3288.702128,0.104296463
Oct-25,Madhya Pradesh,Maihar,2,169,171,0.011695906,0.988304094,84.5,0.011695906,992.5666667,0.172280619
Jan-25,Maharashtra,Ahmed Nagar,2,169,171,0.011695906,0.988304094,84.5,0.011695906,24049.42,0.007110359
Jan-25,West Bengal,West Midnapore,20,1671,1691,0.011827321,0.988172679,83.55,0.011827321,21813.04,0.077522436
Feb-25,West Bengal,Haora,19,1583,1602,0.011860175,0.988139825,83.31578947,0.011860175,3096.586957,0.51734378
Jul-25,West Bengal,Bardhaman,7,579,586,0.011945392,0.988054608,82.71428571,0.011945392,1605.4,0.365018064
Oct-25,Orissa,Cuttack,1,82,83,0.012048193,0.987951807,82,0.012048193,35.16129032,2.360550459
Oct-25,Punjab,Nawanshahr,1,82,83,0.012048193,0.987951807,82,0.012048193,596.9259259,0.139045728
Oct-25,Kerala,Kasargod,1,81,82,0.012195122,0.987804878,81,0.012195122,1652.6,0.049618783
May-25,Madhya Pradesh,Narmadapuram,1,81,82,0.012195122,0.987804878,81,0.012195122,427,0.192037471
Jul-25,West Bengal,North Dinajpur,2,159,161,0.01242236,0.98757764,79.5,0.01242236,1605.4,0.100286533
Feb-25,Maharashtra,Buldana,3,238,241,0.012448133,0.987551867,79.33333333,0.012448133,1206.96,0.199675217
Aug-25,West Bengal,North Twenty Four Parganas,15,1176,1191,0.012594458,0.987405542,78.4,0.012594458,3444.666667,0.345751887
Feb-25,West Bengal,North Twenty Four Parganas,14,1096,1110,0.012612613,0.987387387,78.28571429,0.012612613,3096.586957,0.358459173
Oct-25,Orissa,Ganjam,2,156,158,0.012658228,0.987341772,78,0.012658228,35.16129032,4.493577982
Oct-25,Jharkhand,Pashchimi Singhbhum,2,156,158,0.012658228,0.987341772,78,0.012658228,1203.575758,0.131275492
Dec-25,West Bengal,South Twenty Four Parganas,30,2324,2354,0.012744265,0.987255735,77.46666667,0.012744265,3227.456522,0.729366913
Aug-25,West Bengal,Darjiling,5,385,390,0.012820513,0.987179487,77,0.012820513,3444.666667,0.113218502
Oct-25,Punjab,S.A.S Nagar(Mohali),1,77,78,0.012820513,0.987179487,77,0.012820513,596.9259259,0.130669479
Mar-25,Maharashtra,Buldana,10,770,780,0.012820513,0.987179487,77,0.012820513,3640.86,0.214235098
Sep-25,Punjab,Muktsar,1,77,78,0.012820513,0.987179487,77,0.012820513,488.8888889,0.159545455
Sep-25,West Bengal,Darjiling,4,306,310,0.012903226,0.987096774,76.5,0.012903226,2100.195122,0.147605333
Oct-25,West Bengal,North Twenty Four Parganas,12,913,925,0.012972973,0.987027027,76.08333333,0.012972973,3190.674419,0.289907361
Jun-25,Maharashtra,Buldana,10,758,768,0.013020833,0.986979167,75.8,0.013020833,3194.039216,0.240447893
Jan-25,Jharkhand,Hazaribag,48,3601,3649,0.013154289,0.986845711,75.02083333,0.013154289,18322.24242,0.199156845
Jan-25,Jharkhand,Palamau,19,1424,1443,0.013167013,0.986832987,74.94736842,0.013167013,18322.24242,0.078756735
Jan-25,Jharkhand,Purbi Singhbhum,3,223,226,0.013274336,0.986725664,74.33333333,0.013274336,18322.24242,0.012334735
Nov-25,West Bengal,Bardhaman,12,887,899,0.013348165,0.986651835,73.91666667,0.013348165,2751.222222,0.326763863
Jun-25,West Bengal,West Midnapore,23,1688,1711,0.013442431,0.986557569,73.39130435,0.013442431,3288.702128,0.52026603
Jul-25,West Bengal,Darjiling,3,219,222,0.013513514,0.986486486,73,0.013513514,1605.4,0.138283294
Oct-25,Jharkhand,Garhwa *,1,72,73,0.01369863,0.98630137,72,0.01369863,1203.575758,0.060652601
Dec-25,Madhya Pradesh,Niwari,1,72,73,0.01369863,0.98630137,72,0.01369863,1017.816667,0.07172215
Nov-25,Jharkhand,Seraikela-kharsawan,3,213,216,0.013888889,0.986111111,71,0.013888889,1015.575758,0.212687235
Jun-25,West Bengal,North Twenty Four Parganas,11,781,792,0.013888889,0.986111111,71,0.013888889,3288.702128,0.240824486
Sep-25,West Bengal,South Twenty Four Parganas,10,708,718,0.013927577,0.986072423,70.8,0.013927577,2100.195122,0.341872997
Dec-25,West Bengal,Bardhaman,17,1203,1220,0.013934426,0.986065574,70.76470588,0.013934426,3227.456522,0.378006641
May-25,West Bengal,North Twenty Four Parganas,9,636,645,0.013953488,0.986046512,70.66666667,0.013953488,1941.363636,0.332240693
May-25,Maharashtra,Buldana,6,420,426,0.014084507,0.985915493,70,0.014084507,1259.88,0.338127441
Apr-25,Maharashtra,Ahmed Nagar,4,280,284,0.014084507,0.985915493,70,0.014084507,3964.18,0.07164155
Jan-25,West Bengal,Bardhaman,18,1256,1274,0.014128728,0.985871272,69.77777778,0.014128728,21813.04,0.058405431
Sep-25,Maharashtra,Buldana,4,276,280,0.014285714,0.985714286,69,0.014285714,1521.862745,0.183985054
Jul-25,Maharashtra,Ahmed Nagar,4,276,280,0.014285714,0.985714286,69,0.014285714,2690.72549,0.104061154
May-25,Orissa,Balangir,2,138,140,0.014285714,0.985714286,69,0.014285714,28.88461538,4.846870839
Apr-25,West Bengal,South Twenty Four Parganas,26,1769,1795,0.01448468,0.98551532,68.03846154,0.01448468,3011.52381,0.596043768
Nov-25,Maharashtra,Bid,5,340,345,0.014492754,0.985507246,68,0.014492754,3061.490196,0.112690219
Mar-25,West Bengal,South Dinajpur,4,271,275,0.014545455,0.985454545,67.75,0.014545455,2158.977273,0.127375125
Nov-25,Uttar Pradesh,Barabanki,4,268,272,0.014705882,0.985294118,67,0.014705882,2412.809524,0.112731651
Nov-25,West Bengal,Darjiling,4,268,272,0.014705882,0.985294118,67,0.014705882,2751.222222,0.098865151
Dec-25,Gujarat,Ahmadabad,6,396,402,0.014925373,0.985074627,66,0.014925373,1323.948718,0.303637138
Jun-25,West Bengal,Bardhaman,17,1121,1138,0.014938489,0.985061511,65.94117647,0.014938489,3288.702128,0.346033163
Jan-25,West Bengal,North Twenty Four Parganas,16,1052,1068,0.014981273,0.985018727,65.75,0.014981273,21813.04,0.048961539
Jul-25,Maharashtra,Washim,22,1428,1450,0.015172414,0.984827586,64.90909091,0.015172414,2690.72549,0.53888812
Dec-25,Punjab,Nawanshahr,2,129,131,0.015267176,0.984732824,64.5,0.015267176,891.6666667,0.146915888
Apr-25,West Bengal,North Twenty Four Parganas,11,706,717,0.015341702,0.984658298,64.18181818,0.015341702,3011.52381,0.23808545
Aug-25,Bihar,Purnea,3,192,195,0.015384615,0.984615385,64,0.015384615,4772.913043,0.040855553
May-25,Jharkhand,Pashchimi Singhbhum,1,64,65,0.015384615,0.984615385,64,0.015384615,554.8181818,0.117155497
Mar-25,Maharashtra,Ahmed Nagar,3,191,194,0.015463918,0.984536082,63.66666667,0.015463918,3640.86,0.053284114
Aug-25,Punjab,Firozpur,5,317,322,0.01552795,0.98447205,63.4,0.01552795,797.3703704,0.403827396
Feb-25,Nagaland,Longleng,1,63,64,0.015625,0.984375,63,0.015625,47.29411765,1.353233831
Nov-25,Maharashtra,Buldana,15,943,958,0.01565762,0.98434238,62.86666667,0.01565762,3061.490196,0.312919506
Aug-25,West Bengal,West Midnapore,24,1508,1532,0.015665796,0.984334204,62.83333333,0.015665796,3444.666667,0.4447455
Aug-25,West Bengal,South Twenty Four Parganas,29,1821,1850,0.015675676,0.984324324,62.79310345,0.015675676,3444.666667,0.537062125
Oct-25,Maharashtra,Bid,6,376,382,0.015706806,0.984293194,62.66666667,0.015706806,3503.288462,0.109040407
May-25,West Bengal,North Dinajpur,2,125,127,0.015748031,0.984251969,62.5,0.015748031,1941.363636,0.065417935
Jul-25,Maharashtra,Hingoli,45,2801,2846,0.015811665,0.984188335,62.24444444,0.015811665,2690.72549,1.057707302
Sep-25,Jharkhand,Pashchimi Singhbhum,4,248,252,0.015873016,0.984126984,62,0.015873016,953.4848485,0.26429366
May-25,Odisha,Jagatsinghpur,2,124,126,0.015873016,0.984126984,62,0.015873016,437.952381,0.287702512
Oct-25,Maharashtra,Buldana,15,927,942,0.015923567,0.984076433,61.8,0.015923567,3503.288462,0.268890219
Jul-25,Maharashtra,Bhandara,25,1544,1569,0.015933716,0.984066284,61.76,0.015933716,2690.72549,0.58311411
Jul-25,Maharashtra,Solapur,101,6227,6328,0.015960809,0.984039191,61.65346535,0.015960809,2690.72549,2.351782084
Dec-25,Maharashtra,Yavatmal,170,10479,10649,0.01596394,0.98403606,61.64117647,0.01596394,4660.72549,2.284837419
Dec-25,Jharkhand,Seraikela-kharsawan,5,306,311,0.01607717,0.98392283,61.2,0.01607717,1310.909091,0.237239945
Apr-25,Maharashtra,Mumbai( Sub Urban ),3,183,186,0.016129032,0.983870968,61,0.016129032,3964.18,0.04692017
Jul-25,Maharashtra,Gondiya *,1,60,61,0.016393443,0.983606557,60,0.016393443,2690.72549,0.022670466
Oct-25,Uttarakhand,Hardwar,1,60,61,0.016393443,0.983606557,60,0.016393443,698.8,0.087292501
Apr-25,Sikkim,South,2,120,122,0.016393443,0.983606557,60,0.016393443,83.55555556,1.460106383
Apr-25,West Bengal,West Midnapore,26,1538,1564,0.016624041,0.983375959,59.15384615,0.016624041,3011.52381,0.519338414
Dec-25,West Bengal,West Midnapore,25,1478,1503,0.0166334,0.9833666,59.12,0.0166334,3227.456522,0.465691789
Aug-25,Nagaland,Phek,1,59,60,0.016666667,0.983333333,59,0.016666667,70.76470588,0.847880299
Jan-25,Jharkhand,Pashchimi Singhbhum,46,2710,2756,0.016690856,0.983309144,58.91304348,0.016690856,18322.24242,0.15041827
Jan-25,West Bengal,South Twenty Four Parganas,46,2702,2748,0.016739447,0.983260553,58.73913043,0.016739447,21813.04,0.125979689
Dec-25,Assam,Majuli,1,58,59,0.016949153,0.983050847,58,0.016949153,627.1621622,0.094074553
Sep-25,Orissa,Puri,1,58,59,0.016949153,0.983050847,58,0.016949153,29.92307692,1.971722365
May-25,West Bengal,Koch Bihar,21,1218,1239,0.016949153,0.983050847,58,0.016949153,1941.363636,0.638211192
Oct-25,Bihar,Pashchim Champaran,1,58,59,0.016949153,0.983050847,58,0.016949153,3467.914894,0.017013105
Mar-25,Andaman & Nicobar Islands,Andamans,1,58,59,0.016949153,0.983050847,58,0.016949153,24.33333333,2.424657534
Nov-25,West Bengal,West Midnapore,20,1146,1166,0.017152659,0.982847341,57.3,0.017152659,2751.222222,0.423811639
Dec-25,Punjab,Firozpur,5,284,289,0.017301038,0.982698962,56.8,0.017301038,891.6666667,0.32411215
Dec-25,Karnataka,Chamrajnagar,2,113,115,0.017391304,0.982608696,56.5,0.017391304,950.1923077,0.121028132
Aug-25,Jharkhand,Seraikela-kharsawan,5,281,286,0.017482517,0.982517483,56.2,0.017482517,1522.242424,0.187880718
Jul-25,Maharashtra,Osmanabad,72,4045,4117,0.017488462,0.982511538,56.18055556,0.017488462,2690.72549,1.530070613
Apr-25,Odisha,Anugul,1,56,57,0.01754386,0.98245614,56,0.01754386,693.9047619,0.082143837
Aug-25,Pondicherry,Karaikal,1,56,57,0.01754386,0.98245614,56,0.01754386,137.6666667,0.414043584
Nov-25,Gujarat,Surendranagar,1,56,57,0.01754386,0.98245614,56,0.01754386,1114.538462,0.051142246
Dec-25,Jharkhand,Pashchimi Singhbhum,7,392,399,0.01754386,0.98245614,56,0.01754386,1310.909091,0.304368932
Jan-25,West Bengal,South Dinajpur,6,334,340,0.017647059,0.982352941,55.66666667,0.017647059,21813.04,0.015587007
Dec-25,Maharashtra,Hingoli,129,7108,7237,0.017825066,0.982174934,55.10077519,0.017825066,4660.72549,1.552762551
Jul-25,West Bengal,Haora,18,990,1008,0.017857143,0.982142857,55,0.017857143,1605.4,0.627880902
May-25,Maharashtra,Ahmed Nagar,1,55,56,0.017857143,0.982142857,55,0.017857143,1259.88,0.044448678
Sep-25,Delhi,New Delhi,1,55,56,0.017857143,0.982142857,55,0.017857143,1059.615385,0.052849365
May-25,Uttar Pradesh,Barabanki,2,110,112,0.017857143,0.982142857,55,0.017857143,1718.883721,0.065158567
Jan-25,Rajasthan,Dungarpur,1137,62162,63299,0.017962369,0.982037631,54.67194371,0.017962369,35128.63043,1.801920519
Oct-25,Jharkhand,Seraikela-kharsawan,6,328,334,0.017964072,0.982035928,54.66666667,0.017964072,1203.575758,0.27750642
Nov-25,Jharkhand,Purbi Singhbhum,3,163,166,0.018072289,0.981927711,54.33333333,0.018072289,1015.575758,0.163454079
Jul-25,Madhya Pradesh,Maihar,2,108,110,0.018181818,0.981818182,54,0.018181818,563.3833333,0.195248942
Oct-25,Maharashtra,Ahmed Nagar,6,323,329,0.018237082,0.981762918,53.83333333,0.018237082,3503.288462,0.093911764
Feb-25,Madhya Pradesh,Maihar,2,107,109,0.018348624,0.981651376,53.5,0.018348624,617.15,0.176618326
Apr-25,Maharashtra,Yavatmal,168,8967,9135,0.018390805,0.981609195,53.375,0.018390805,3964.18,2.304385775
Oct-25,Assam,Sribhumi,3,159,162,0.018518519,0.981481481,53,0.018518519,848.027027,0.191031647
May-25,Punjab,S.A.S Nagar(Mohali),1,53,54,0.018518519,0.981481481,53,0.018518519,586.5185185,0.092068704
Mar-25,Sikkim,South Sikkim,1,53,54,0.018518519,0.981481481,53,0.018518519,101.4,0.532544379
Apr-25,Punjab,Muktsar,3,159,162,0.018518519,0.981481481,53,0.018518519,714.4074074,0.226761367
Oct-25,West Bengal,South Twenty Four Parganas,38,2012,2050,0.018536585,0.981463415,52.94736842,0.018536585,3190.674419,0.642497394
Oct-25,Maharashtra,Yavatmal,160,8453,8613,0.01857657,0.98142343,52.83125,0.01857657,3503.288462,2.458547189
Aug-25,Orissa,Balangir,5,263,268,0.018656716,0.981343284,52.6,0.018656716,55.85714286,4.797953964
Jun-25,West Bengal,South Dinajpur,7,368,375,0.018666667,0.981333333,52.57142857,0.018666667,3288.702128,0.114026745
Aug-25,Maharashtra,Buldana,13,683,696,0.018678161,0.981321839,52.53846154,0.018678161,3278.882353,0.212267451
Sep-25,Odisha,Sundargarh,4,210,214,0.018691589,0.981308411,52.5,0.018691589,490.1428571,0.436607403
Aug-25,West Bengal,North Dinajpur,5,262,267,0.018726592,0.981273408,52.4,0.018726592,3444.666667,0.077511128
Jul-25,West Bengal,Purulia,5,261,266,0.018796992,0.981203008,52.2,0.018796992,1605.4,0.165690794
Jun-25,Maharashtra,Solapur,218,11368,11586,0.018815812,0.981184188,52.14678899,0.018815812,3194.039216,3.627381888
May-25,Nagaland,Mokokchung,1,52,53,0.018867925,0.981132075,52,0.018867925,46.58823529,1.137626263
Jul-25,Punjab,Firozpur,2,104,106,0.018867925,0.981132075,52,0.018867925,383.0740741,0.276708885
Feb-25,Odisha,Subarnapur,2,104,106,0.018867925,0.981132075,52,0.018867925,445.5813953,0.237891441
Mar-25,West Bengal,West Midnapore,21,1085,1106,0.018987342,0.981012658,51.66666667,0.018987342,2158.977273,0.512279594
Nov-25,West Bengal,North Twenty Four Parganas,17,874,891,0.019079686,0.980920314,51.41176471,0.019079686,2751.222222,0.323856064
Jan-25,West Bengal,East Midnapore,34,1744,1778,0.01912261,0.98087739,51.29411765,0.01912261,21813.04,0.081510876
Jul-25,Maharashtra,Sangli,37,1888,1925,0.019220779,0.980779221,51.02702703,0.019220779,2690.72549,0.715420435
Jun-25,Maharashtra,Yavatmal,134,6835,6969,0.01922801,0.98077199,51.00746269,0.01922801,3194.039216,2.18187678
Jun-25,Sikkim,South,1,51,52,0.019230769,0.980769231,51,0.019230769,39.6,1.313131313
Oct-25,Karnataka,Bengaluru South,2,102,104,0.019230769,0.980769231,51,0.019230769,709.5192308,0.146578127
Jul-25,West Bengal,South Twenty Four Parganas,20,1016,1036,0.019305019,0.980694981,50.8,0.019305019,1605.4,0.645322038
Dec-25,Jharkhand,Garhwa *,2,101,103,0.019417476,0.980582524,50.5,0.019417476,1310.909091,0.078571429
Jul-25,Maharashtra,Nanded,169,8532,8701,0.019423055,0.980576945,50.4852071,0.019423055,2690.72549,3.233700365
Jul-25,Maharashtra,Akola,46,2318,2364,0.019458545,0.980541455,50.39130435,0.019458545,2690.72549,0.878573459
Apr-25,West Bengal,North Dinajpur,3,150,153,0.019607843,0.980392157,50,0.019607843,3011.52381,0.050804845
Nov-25,West Bengal,East Midnapore,20,992,1012,0.019762846,0.980237154,49.6,0.019762846,2751.222222,0.367836517
Feb-25,Maharashtra,Bid,2,98,100,0.02,0.98,49,0.02,1206.96,0.082852787
Mar-25,Orissa,Rayagada,1,49,50,0.02,0.98,49,0.02,49.80769231,1.003861004
Jul-25,Madhya Pradesh,Niwari,1,49,50,0.02,0.98,49,0.02,563.3833333,0.088749519
Dec-25,West Bengal,Maldah,26,1274,1300,0.02,0.98,49,0.02,3227.456522,0.402793962
Feb-25,Arunachal Pradesh,Tirap,1,49,50,0.02,0.98,49,0.02,61.44,0.813802083
Aug-25,Orissa,Rayagada,1,49,50,0.02,0.98,49,0.02,55.85714286,0.895140665
Dec-25,Maharashtra,Nanded,310,15074,15384,0.020150806,0.979849194,48.62580645,0.020150806,4660.72549,3.300773674
Jul-25,Maharashtra,Buldhana,97,4710,4807,0.020178906,0.979821094,48.55670103,0.020178906,2690.72549,1.786507029
