state,district,month,bio_age_5_17,bio_age_17_plus,total_bio_updates,child_to_adult_ratio,child_bio_share,Bio_Stress_Index,LOW_CHILD_COMPLIANCE,INFRA_STRESS,ADULT_SPIKE,CATCH_UP_SPIKE,child_change,adult_change,FUTURE_SURGE_RISK
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,559,187,746,2.989304812834225,0.7493297587131368,1.099814349677842,0,0,0,0,208.0,-461.0,1
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,303,108,411,2.805555555555556,0.7372262773722628,0.6059298897018675,0,0,0,0,-256.0,-79.0,0
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,467,114,581,4.096491228070176,0.8037865748709122,0.8565578246150486,0,0,0,0,164.0,6.0,0
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,443,148,591,2.9932432432432434,0.7495769881556683,0.871300644315824,0,0,0,0,-24.0,34.0,0
Andaman and Nicobar Islands,South Andaman,2025-03,948,450,1398,2.1066666666666665,0.6781115879828327,2.061046194168396,0,1,0,0,,,0
Andaman and Nicobar Islands,South Andaman,2025-04,839,482,1321,1.7406639004149378,0.6351249053747161,1.9475264824724252,0,1,0,0,-109.0,32.0,0
Andaman and Nicobar Islands,South Andaman,2025-05,654,455,1109,1.4373626373626374,0.5897204688908927,1.6349787048159878,0,1,0,0,-185.0,-27.0,0
Andaman and Nicobar Islands,South Andaman,2025-06,481,442,923,1.088235294117647,0.5211267605633803,1.360762258381566,0,0,0,0,-173.0,-13.0,0
Andaman and Nicobar Islands,South Andaman,2025-07,629,699,1328,0.899856938483548,0.473644578313253,1.9578464562629685,0,1,1,0,148.0,257.0,0
Andaman and Nicobar Islands,South Andaman,2025-09,1045,285,1330,3.6666666666666665,0.7857142857142857,1.9607950202031232,0,1,0,0,416.0,-414.0,1
Andaman and Nicobar Islands,South Andaman,2025-10,542,190,732,2.8526315789473684,0.7404371584699454,1.0791744020967566,0,0,0,0,-503.0,-95.0,0
Andaman and Nicobar Islands,South Andaman,2025-11,532,216,748,2.462962962962963,0.7112299465240641,1.102762913617997,0,0,0,0,-10.0,26.0,0
Andaman and Nicobar Islands,South Andaman,2025-12,959,272,1231,3.525735294117647,0.7790414297319253,1.8148411051654472,0,1,0,0,427.0,56.0,0
Andhra Pradesh,Adilabad,2025-03,897,4366,5263,0.2054512139257902,0.1704351130533916,0.5568199683841455,1,0,0,0,,,0
Andhra Pradesh,Adilabad,2025-04,694,2822,3516,0.2459248759744861,0.1973833902161547,0.3719891713544852,1,0,0,0,-203.0,-1544.0,0
Andhra Pradesh,Adilabad,2025-05,961,2457,3418,0.3911273911273911,0.2811585722644821,0.3616208724942066,1,0,0,0,267.0,-365.0,1
Andhra Pradesh,Adilabad,2025-06,1921,3719,5640,0.5165367034148964,0.3406028368794326,0.5967061793058295,0,0,0,0,960.0,1262.0,0
Andhra Pradesh,Adilabad,2025-07,1321,5807,7128,0.2274840709488548,0.1853254769921436,0.754135043633325,1,0,0,0,-600.0,2088.0,0
Andhra Pradesh,Adilabad,2025-09,1108,6511,7619,0.1701735524497005,0.1454259089119307,0.8060823369026799,1,0,0,0,-213.0,704.0,0
Andhra Pradesh,Adilabad,2025-10,2245,5259,7504,0.426887240920327,0.2991737739872068,0.7939154555870469,1,0,0,0,1137.0,-1252.0,1
Andhra Pradesh,Adilabad,2025-11,1420,4140,5560,0.3429951690821256,0.2553956834532374,0.5882422618688674,1,0,0,0,-825.0,-1119.0,0
Andhra Pradesh,Adilabad,2025-12,1641,4749,6390,0.3455464308275426,0.2568075117370892,0.6760554052773494,1,0,0,0,221.0,609.0,0
Andhra Pradesh,Alluri Sitharama Raju,2025-03,585,1408,1993,0.4154829545454545,0.2935273457099849,0.2108573431483188,1,0,0,0,,,0
Andhra Pradesh,Alluri Sitharama Raju,2025-04,877,1092,1969,0.8031135531135531,0.4454037582529203,0.2083181679172302,0,0,0,0,292.0,-316.0,1
Andhra Pradesh,Alluri Sitharama Raju,2025-05,1125,964,2089,1.1670124481327802,0.5385351842987075,0.2210140440726734,0,0,0,0,248.0,-128.0,1
Andhra Pradesh,Alluri Sitharama Raju,2025-06,1717,1219,2936,1.4085315832649712,0.5848092643051771,0.3106257699365098,0,0,0,0,592.0,255.0,0
Andhra Pradesh,Alluri Sitharama Raju,2025-07,718,1130,1848,0.6353982300884956,0.3885281385281385,0.195516492793825,0,0,0,0,-999.0,-89.0,0
Andhra Pradesh,Alluri Sitharama Raju,2025-09,700,711,1411,0.9845288326300984,0.4961020552799433,0.1492823437944194,0,0,0,0,-18.0,-419.0,0
Andhra Pradesh,Alluri Sitharama Raju,2025-10,749,1270,2019,0.5897637795275591,0.370975730559683,0.2136081163153315,0,0,0,0,49.0,559.0,0
Andhra Pradesh,Alluri Sitharama Raju,2025-11,1099,1013,2112,1.084896347482725,0.5203598484848485,0.2234474203357999,0,0,0,0,350.0,-257.0,1
Andhra Pradesh,Alluri Sitharama Raju,2025-12,868,1362,2230,0.6372980910425844,0.3892376681614349,0.2359316985553191,0,0,0,0,-231.0,349.0,0
Andhra Pradesh,Anakapalli,2025-03,218,234,452,0.9316239316239316,0.4823008849557522,0.0478211335188359,0,0,0,0,,,0
Andhra Pradesh,Anakapalli,2025-04,598,342,940,1.7485380116959064,0.6361702127659574,0.0994510298843049,0,0,0,0,380.0,108.0,0
Andhra Pradesh,Anakapalli,2025-05,565,480,1045,1.1770833333333333,0.5406698564593302,0.1105599215203177,0,0,0,0,-33.0,138.0,0
Andhra Pradesh,Anakapalli,2025-06,579,449,1028,1.289532293986637,0.5632295719844358,0.1087613390649632,0,0,0,0,14.0,-31.0,1
Andhra Pradesh,Anakapalli,2025-07,214,281,495,0.7615658362989324,0.4323232323232323,0.0523704891412031,0,0,0,0,-365.0,-168.0,0
Andhra Pradesh,Anakapalli,2025-09,111,292,403,0.3801369863013699,0.2754342431761786,0.0426369840886966,1,0,0,0,-103.0,11.0,0
Andhra Pradesh,Anakapalli,2025-10,373,281,654,1.3274021352313168,0.5703363914373089,0.0691925250471653,0,0,0,0,262.0,-11.0,1
Andhra Pradesh,Anakapalli,2025-11,429,303,732,1.4158415841584158,0.5860655737704918,0.0774448445482034,0,0,0,0,56.0,22.0,0
Andhra Pradesh,Anakapalli,2025-12,455,519,974,0.8766859344894027,0.4671457905544148,0.1030481947950138,0,0,0,0,26.0,216.0,0
Andhra Pradesh,Anantapur,2025-03,3363,6499,9862,0.5174642252654255,0.3410058811600081,1.0433894220415054,0,0,0,0,,,0
Andhra Pradesh,Anantapur,2025-04,5252,6078,11330,0.864100032905561,0.4635481023830538,1.1987023070097604,0,0,0,0,1889.0,-421.0,1
Andhra Pradesh,Anantapur,2025-05,5334,6348,11682,0.8402646502835539,0.4565998972778634,1.2359435437323936,0,0,0,0,82.0,270.0,0
Andhra Pradesh,Anantapur,2025-06,5129,6852,11981,0.7485405720957384,0.4280944829313079,1.2675774351530396,0,0,0,0,-205.0,504.0,0
Andhra Pradesh,Anantapur,2025-07,1990,5806,7796,0.3427488804684809,0.2552591072344792,0.8248087542319587,1,0,0,0,-3139.0,-1046.0,0
Andhra Pradesh,Anantapur,2025-09,1548,4191,5739,0.3693629205440229,0.2697334030318871,0.6071802771340701,1,0,0,0,-442.0,-1615.0,0
Andhra Pradesh,Anantapur,2025-10,5574,6560,12134,0.8496951219512195,0.4593703642656996,1.2837646772512297,0,0,0,0,4026.0,2369.0,0
Andhra Pradesh,Anantapur,2025-11,4338,6853,11191,0.6330074419962061,0.38763291931016,1.1839962504630386,0,0,0,0,-1236.0,293.0,0
Andhra Pradesh,Anantapur,2025-12,3306,8544,11850,0.386938202247191,0.2789873417721519,1.2537177703500142,1,0,0,0,-1032.0,1691.0,0
Andhra Pradesh,Ananthapur,2025-03,11722,2215,13937,5.292099322799097,0.8410705316782665,1.4745202164867637,0,0,0,0,,,0
Andhra Pradesh,Ananthapur,2025-04,15832,2062,17894,7.677982541222114,0.88476584329943,1.8931667327125024,0,1,0,0,4110.0,-153.0,1
Andhra Pradesh,Ananthapur,2025-05,10603,2055,12658,5.159610705596107,0.8376520777373992,1.3392033364633316,0,0,0,0,-5229.0,-7.0,0
Andhra Pradesh,Ananthapur,2025-06,8820,2534,11354,3.4806629834254146,0.7768187422934648,1.201241482240849,0,0,0,0,-1783.0,479.0,0
Andhra Pradesh,Ananthapur,2025-07,2655,2114,4769,1.2559129612109745,0.556720486475152,0.5045552782109044,0,0,0,0,-6165.0,-420.0,0
Andhra Pradesh,Ananthapur,2025-09,1685,1516,3201,1.1114775725593669,0.5263980006248048,0.3386624964464468,0,0,0,0,-970.0,-598.0,0
Andhra Pradesh,Ananthapur,2025-10,5552,2105,7657,2.637529691211401,0.7250881546297505,0.810102697685237,0,0,0,0,3867.0,589.0,0
Andhra Pradesh,Ananthapur,2025-11,3738,2396,6134,1.5601001669449082,0.6093902836648191,0.6489708694790706,0,0,0,0,-1814.0,291.0,0
Andhra Pradesh,Ananthapur,2025-12,3475,3053,6528,1.1382246970193253,0.5323223039215687,0.690655662856109,0,0,0,0,-263.0,657.0,0
Andhra Pradesh,Ananthapuramu,2025-03,14063,2087,16150,6.738380450407283,0.8707739938080495,1.708653332586728,0,1,0,0,,,0
Andhra Pradesh,Ananthapuramu,2025-04,21835,1945,23780,11.226221079691516,0.9182085786375104,2.5158994581369902,0,1,0,0,7772.0,-142.0,1
Andhra Pradesh,Ananthapuramu,2025-05,16807,2592,19399,6.484182098765432,0.8663848651992371,2.0523941794953524,0,1,0,0,-5028.0,647.0,0
Andhra Pradesh,Ananthapuramu,2025-06,13860,2868,16728,4.832635983263598,0.8285509325681492,1.7698051360687794,0,1,0,0,-2947.0,276.0,0
Andhra Pradesh,Ananthapuramu,2025-07,3740,2292,6032,1.631762652705061,0.620026525198939,0.6381793747469439,0,0,0,0,-10120.0,-576.0,0
Andhra Pradesh,Ananthapuramu,2025-09,2517,1352,3869,1.8616863905325445,0.6505556991470665,0.4093362070450805,0,0,0,0,-1223.0,-940.0,0
Andhra Pradesh,Ananthapuramu,2025-10,7446,1540,8986,4.835064935064935,0.8286223013576675,0.9507095261067702,0,0,0,0,4929.0,188.0,0
Andhra Pradesh,Ananthapuramu,2025-11,5257,1819,7076,2.8900494777350194,0.7429338609383833,0.7486334972992996,0,0,0,0,-2189.0,279.0,0
Andhra Pradesh,Ananthapuramu,2025-12,5008,2574,7582,1.9456099456099456,0.660511738327618,0.802167775088085,0,0,0,0,-249.0,755.0,0
Andhra Pradesh,Annamayya,2025-03,235,270,505,0.8703703703703703,0.4653465346534653,0.0534284788208233,0,0,0,0,,,0
Andhra Pradesh,Annamayya,2025-04,760,371,1131,2.0485175202156336,0.671971706454465,0.1196586327650519,0,0,0,0,525.0,101.0,0
Andhra Pradesh,Annamayya,2025-05,1317,595,1912,2.2134453781512606,0.6888075313807531,0.2022876267433946,0,0,0,0,557.0,224.0,0
Andhra Pradesh,Annamayya,2025-06,903,507,1410,1.7810650887573964,0.6404255319148936,0.1491765448264573,0,0,0,0,-414.0,-88.0,0
Andhra Pradesh,Annamayya,2025-07,361,491,852,0.7352342158859471,0.4237089201877934,0.0901407207036465,0,0,0,0,-542.0,-16.0,0
Andhra Pradesh,Annamayya,2025-09,191,385,576,0.4961038961038961,0.3315972222222222,0.0609402055461272,0,0,0,0,-170.0,-106.0,0
Andhra Pradesh,Annamayya,2025-10,634,326,960,1.94478527607362,0.6604166666666667,0.1015670092435454,0,0,0,0,443.0,-59.0,1
Andhra Pradesh,Annamayya,2025-11,655,372,1027,1.760752688172043,0.6377799415774099,0.1086555400970012,0,0,0,0,21.0,46.0,0
Andhra Pradesh,Annamayya,2025-12,734,605,1339,1.2132231404958678,0.5481702763256161,0.1416648181011535,0,0,0,0,79.0,233.0,0
Andhra Pradesh,Bapatla,2025-03,114,131,245,0.8702290076335878,0.4653061224489795,0.0259207471506964,0,0,0,0,,,0
Andhra Pradesh,Bapatla,2025-04,220,165,385,1.3333333333333333,0.5714285714285714,0.0407326026653802,0,0,0,0,106.0,34.0,0
Andhra Pradesh,Bapatla,2025-05,508,303,811,1.6765676567656769,0.6263871763255241,0.0858029630172035,0,0,0,0,288.0,138.0,0
Andhra Pradesh,Bapatla,2025-06,822,465,1287,1.767741935483871,0.6386946386946387,0.1361632717671281,0,0,1,0,314.0,162.0,0
Andhra Pradesh,Bapatla,2025-07,171,165,336,1.0363636363636364,0.5089285714285714,0.0355484532352409,0,0,0,0,-651.0,-300.0,0
Andhra Pradesh,Bapatla,2025-09,134,182,316,0.7362637362637363,0.4240506329113924,0.0334324738760003,0,0,0,0,-37.0,17.0,0
Andhra Pradesh,Bapatla,2025-10,462,171,633,2.701754385964912,0.7298578199052133,0.0669707467199627,0,0,0,0,328.0,-11.0,1
Andhra Pradesh,Bapatla,2025-11,769,203,972,3.7881773399014778,0.7911522633744856,0.1028365968590897,0,0,0,0,307.0,32.0,0
Andhra Pradesh,Bapatla,2025-12,699,298,997,2.3456375838926173,0.7011033099297894,0.1054815710581404,0,0,0,0,-70.0,95.0,0
Andhra Pradesh,Chittoor,2025-03,18773,9414,28187,1.9941576375610792,0.6660162486252528,2.9821555099456414,0,1,0,0,,,0
Andhra Pradesh,Chittoor,2025-04,35284,10206,45490,3.457182049774642,0.7756429984612002,4.812795052592586,0,1,0,0,16511.0,792.0,0
Andhra Pradesh,Chittoor,2025-05,25633,9255,34888,2.769638033495408,0.734722540701674,3.6911143942591806,0,1,0,0,-9651.0,-951.0,0
Andhra Pradesh,Chittoor,2025-06,21156,9672,30828,2.1873449131513647,0.6862592448423511,3.261570584333353,0,1,0,0,-4477.0,417.0,0
Andhra Pradesh,Chittoor,2025-07,8888,10455,19343,0.8501195600191296,0.4594943907356666,2.046469437289479,0,1,0,0,-12268.0,783.0,0
Andhra Pradesh,Chittoor,2025-09,5089,7068,12157,0.7200056593095643,0.4186065641194373,1.2861980535143562,0,0,0,0,-3799.0,-3387.0,0
Andhra Pradesh,Chittoor,2025-10,19337,6698,26035,2.886981188414452,0.7427309391204149,2.7544761308913603,0,1,0,0,14248.0,-370.0,1
Andhra Pradesh,Chittoor,2025-11,22221,8662,30883,2.5653428769337334,0.7195220671566881,3.267389527571265,0,1,0,0,2884.0,1964.0,0
Andhra Pradesh,Chittoor,2025-12,12329,11265,23594,1.09445184198846,0.5225481054505383,2.4962208500960537,0,1,0,0,-9892.0,2603.0,0
Andhra Pradesh,Cuddapah,2025-03,11599,5222,16821,2.221179624664879,0.6895547232625884,1.779644440089248,0,1,0,0,,,0
Andhra Pradesh,Cuddapah,2025-04,22219,5703,27922,3.896019638786604,0.7957524532626603,2.954118783435704,0,1,0,0,10620.0,481.0,0
Andhra Pradesh,Cuddapah,2025-05,18656,5900,24556,3.1620338983050846,0.7597328555139273,2.597999457275523,0,1,0,0,-3563.0,197.0,0
Andhra Pradesh,Cuddapah,2025-06,17592,6976,24568,2.521788990825688,0.7160534028003908,2.599269044891068,0,1,0,0,-1064.0,1076.0,0
Andhra Pradesh,Cuddapah,2025-07,7080,7148,14228,0.9904868494683828,0.4976103457970199,1.5053077161637132,0,1,0,0,-10512.0,172.0,0
Andhra Pradesh,Cuddapah,2025-09,3714,4701,8415,0.790044671346522,0.4413547237076649,0.8902983154004531,0,0,0,0,-3366.0,-2447.0,0
Andhra Pradesh,Cuddapah,2025-10,10849,5852,16701,1.853896103896104,0.6496018202502845,1.7669485639338047,0,1,0,0,7135.0,1151.0,0
Andhra Pradesh,Cuddapah,2025-11,11718,5958,17676,1.9667673716012084,0.6629327902240326,1.8701025576967805,0,1,0,0,869.0,106.0,0
Andhra Pradesh,Cuddapah,2025-12,11700,8209,19909,1.425264953100256,0.5876739163192526,2.106351653155986,0,1,0,0,-18.0,2251.0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,116,181,297,0.6408839779005525,0.3905723905723905,0.0314222934847218,0,0,0,0,,,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,321,247,568,1.2995951417004048,0.5651408450704225,0.060093813802431,0,0,0,0,205.0,66.0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,615,414,1029,1.4855072463768115,0.597667638483965,0.1088671380329252,0,0,0,0,294.0,167.0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,668,528,1196,1.2651515151515151,0.5585284280936454,0.1265355656825837,0,0,1,0,53.0,114.0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,182,300,482,0.6066666666666667,0.3775933609958506,0.0509951025576967,0,0,0,0,-486.0,-228.0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,200,309,509,0.6472491909385113,0.3929273084479371,0.0538516746926714,0,0,0,0,18.0,9.0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,653,240,893,2.720833333333333,0.7312430011198209,0.0944784783900896,0,0,0,0,453.0,-69.0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,941,295,1236,3.1898305084745764,0.761326860841424,0.1307675244010647,0,0,0,0,288.0,55.0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,656,440,1096,1.490909090909091,0.5985401459854015,0.115955668886381,0,0,0,0,-285.0,145.0,0
Andhra Pradesh,East Godavari,2025-03,18286,11512,29798,1.5884294649061848,0.6136653466675616,3.152597647332466,0,1,0,0,,,0
Andhra Pradesh,East Godavari,2025-04,39510,11585,51095,3.410444540353906,0.7732654858596731,5.405798268019744,0,1,0,0,21224.0,73.0,0
Andhra Pradesh,East Godavari,2025-05,29904,11079,40983,2.6991605740590305,0.7296683990923065,4.335959103987732,0,1,0,0,-9606.0,-506.0,0
Andhra Pradesh,East Godavari,2025-06,30081,12219,42300,2.461821753007611,0.7111347517730496,4.475296344793722,0,1,0,0,177.0,1140.0,0
Andhra Pradesh,East Godavari,2025-07,12528,13506,26034,0.9275877387827632,0.4812168702466006,2.7543703319233983,0,1,0,0,-17553.0,1287.0,0
Andhra Pradesh,East Godavari,2025-09,7385,7853,15238,0.9404049407869604,0.4846436540228376,1.61216467380536,0,1,0,0,-5143.0,-5653.0,0
Andhra Pradesh,East Godavari,2025-10,20988,7726,28714,2.716541548019674,0.7309326460959811,3.0379115660616294,0,1,0,0,13603.0,-127.0,1
Andhra Pradesh,East Godavari,2025-11,26682,9204,35886,2.898956975228162,0.7435211503093129,3.796701764285283,0,1,0,0,5694.0,1478.0,0
Andhra Pradesh,East Godavari,2025-12,19540,12262,31802,1.5935410210406131,0.6144267656122256,3.364618779128367,0,1,0,0,-7142.0,3058.0,0
Andhra Pradesh,Eluru,2025-03,171,308,479,0.5551948051948052,0.3569937369519833,0.0506777056538106,0,0,0,0,,,0
Andhra Pradesh,Eluru,2025-04,402,462,864,0.8701298701298701,0.4652777777777778,0.0914103083191909,0,0,0,0,231.0,154.0,0
Andhra Pradesh,Eluru,2025-05,801,734,1535,1.0912806539509536,0.5218241042345277,0.1624014158217107,0,0,1,0,399.0,272.0,0
Andhra Pradesh,Eluru,2025-06,899,693,1592,1.297258297258297,0.5646984924623115,0.1684319569955462,0,0,1,0,98.0,-41.0,1
Andhra Pradesh,Eluru,2025-07,235,374,609,0.6283422459893048,0.3858784893267651,0.0644315714888741,0,0,0,0,-664.0,-319.0,0
Andhra Pradesh,Eluru,2025-09,215,392,607,0.548469387755102,0.3542009884678748,0.06421997355295,0,0,0,0,-20.0,18.0,0
Andhra Pradesh,Eluru,2025-10,381,267,648,1.4269662921348314,0.5879629629629629,0.0685577312393931,0,0,0,0,166.0,-125.0,1
Andhra Pradesh,Eluru,2025-11,584,285,869,2.049122807017544,0.6720368239355581,0.091939303159001,0,0,0,0,203.0,18.0,0
Andhra Pradesh,Eluru,2025-12,600,427,1027,1.405152224824356,0.5842259006815969,0.1086555400970012,0,0,0,0,16.0,142.0,0
Andhra Pradesh,Guntur,2025-03,19655,11604,31259,1.693812478455705,0.628778911673438,3.3071699395249867,0,1,0,0,,,0
Andhra Pradesh,Guntur,2025-04,40190,11344,51534,3.542842031029619,0.779873481584973,5.452244014955074,0,1,0,0,20535.0,-260.0,1
Andhra Pradesh,Guntur,2025-05,28530,12010,40540,2.3755203996669443,0.703749383325111,4.289090161180555,0,1,0,0,-11660.0,666.0,0
Andhra Pradesh,Guntur,2025-06,28176,13524,41700,2.08340727595386,0.6756834532374101,4.411816964016506,0,1,0,0,-354.0,1514.0,0
Andhra Pradesh,Guntur,2025-07,11415,14196,25611,0.8040997464074388,0.4457069228066065,2.709617368475461,0,1,0,0,-16761.0,672.0,0
Andhra Pradesh,Guntur,2025-09,4976,8246,13222,0.6034440941062333,0.3763424595371351,1.3988739543939146,0,0,0,0,-6439.0,-5950.0,0
Andhra Pradesh,Guntur,2025-10,17165,8852,26017,1.9391098056936285,0.6597609255486797,2.752571749468044,0,1,0,0,12189.0,606.0,0
Andhra Pradesh,Guntur,2025-11,21021,10826,31847,1.9417143912802517,0.6600621722611235,3.3693797326866584,0,1,0,0,3856.0,1974.0,0
Andhra Pradesh,Guntur,2025-12,16537,13427,29964,1.2316228494823862,0.551895608063009,3.1701602760141623,0,1,0,0,-4484.0,2601.0,0
Andhra Pradesh,Hyderabad,2025-03,2070,9936,12006,0.2083333333333333,0.1724137931034483,1.2702224093520902,1,0,0,0,,,0
Andhra Pradesh,Hyderabad,2025-04,1935,8839,10774,0.2189161669872157,0.1795990347131984,1.1398780808228737,1,0,0,0,-135.0,-1097.0,0
Andhra Pradesh,Hyderabad,2025-05,2418,8605,11023,0.2809994189424753,0.2193595210015422,1.1662220238454182,1,0,0,0,483.0,-234.0,1
Andhra Pradesh,Hyderabad,2025-06,2416,9534,11950,0.2534088525277952,0.2021757322175732,1.2642976671462167,1,0,0,0,-2.0,929.0,0
Andhra Pradesh,Hyderabad,2025-07,3151,12504,15655,0.2519993602047345,0.2012775471095496,1.656282843445525,1,1,0,0,735.0,2970.0,0
Andhra Pradesh,Hyderabad,2025-09,2138,8364,10502,0.2556193208990913,0.203580270424681,1.1111007615372024,1,0,0,0,-1013.0,-4140.0,0
Andhra Pradesh,Hyderabad,2025-10,2851,6315,9166,0.4514647664291369,0.3110408029674885,0.969753340339935,1,0,0,0,713.0,-2049.0,1
Andhra Pradesh,Hyderabad,2025-11,3097,7432,10529,0.4167115177610334,0.2941399943014531,1.113957333672177,1,0,0,0,246.0,1117.0,0
Andhra Pradesh,Hyderabad,2025-12,3287,10852,14139,0.3028934758569849,0.2324775443807907,1.4958916080150928,1,0,0,0,190.0,3420.0,0
Andhra Pradesh,K.V.Rangareddy,2025-07,10,12,22,0.8333333333333334,0.4545454545454545,0.00232757729516458,0,0,0,0,,,0
Andhra Pradesh,K.V.Rangareddy,2025-09,33,177,210,0.1864406779661017,0.1571428571428571,0.0222177832720255,1,0,0,0,23.0,165.0,0
Andhra Pradesh,K.V.Rangareddy,2025-10,52,164,216,0.3170731707317073,0.2407407407407407,0.0228525770797977,1,0,0,0,19.0,-13.0,1
Andhra Pradesh,K.V.Rangareddy,2025-11,29,138,167,0.2101449275362318,0.1736526946107784,0.0176684276496584,1,0,0,0,-23.0,-26.0,0
