state,district,month,bio_age_5_17,bio_age_17_plus
Andhra Pradesh,Nellore,2025-11,11289,6681
Andhra Pradesh,Nellore,2025-12,7405,6996
Andhra Pradesh,Nizamabad,2025-03,233,677
Andhra Pradesh,Nizamabad,2025-04,229,528
Andhra Pradesh,Nizamabad,2025-05,298,675
Andhra Pradesh,Nizamabad,2025-06,353,735
Andhra Pradesh,Nizamabad,2025-07,258,982
Andhra Pradesh,Nizamabad,2025-09,368,961
Andhra Pradesh,Nizamabad,2025-10,641,1058
Andhra Pradesh,Nizamabad,2025-11,540,896
Andhra Pradesh,Nizamabad,2025-12,532,1015
Andhra Pradesh,Palnadu,2025-03,293,311
Andhra Pradesh,Palnadu,2025-04,606,398
Andhra Pradesh,Palnadu,2025-05,1259,700
Andhra Pradesh,Palnadu,2025-06,1400,705
Andhra Pradesh,Palnadu,2025-07,368,531
Andhra Pradesh,Palnadu,2025-09,192,348
Andhra Pradesh,Palnadu,2025-10,593,264
Andhra Pradesh,Palnadu,2025-11,686,346
Andhra Pradesh,Palnadu,2025-12,610,443
Andhra Pradesh,Parvathipuram Manyam,2025-03,362,487
Andhra Pradesh,Parvathipuram Manyam,2025-04,840,655
Andhra Pradesh,Parvathipuram Manyam,2025-05,1014,786
Andhra Pradesh,Parvathipuram Manyam,2025-06,1058,879
Andhra Pradesh,Parvathipuram Manyam,2025-07,409,743
Andhra Pradesh,Parvathipuram Manyam,2025-09,149,432
Andhra Pradesh,Parvathipuram Manyam,2025-10,320,431
Andhra Pradesh,Parvathipuram Manyam,2025-11,541,460
Andhra Pradesh,Parvathipuram Manyam,2025-12,397,667
Andhra Pradesh,Prakasam,2025-03,11991,7242
Andhra Pradesh,Prakasam,2025-04,28635,7906
Andhra Pradesh,Prakasam,2025-05,24657,8625
Andhra Pradesh,Prakasam,2025-06,23007,10067
Andhra Pradesh,Prakasam,2025-07,8732,9994
Andhra Pradesh,Prakasam,2025-09,4352,6116
Andhra Pradesh,Prakasam,2025-10,10066,7699
Andhra Pradesh,Prakasam,2025-11,13488,8594
Andhra Pradesh,Prakasam,2025-12,11605,9523
Andhra Pradesh,Rangareddi,2025-03,1114,5136
Andhra Pradesh,Rangareddi,2025-04,1035,4115
Andhra Pradesh,Rangareddi,2025-05,1276,4011
Andhra Pradesh,Rangareddi,2025-06,1369,4894
Andhra Pradesh,Rangareddi,2025-07,1624,6438
Andhra Pradesh,Rangareddi,2025-09,1239,4557
Andhra Pradesh,Rangareddi,2025-10,2017,3351
Andhra Pradesh,Rangareddi,2025-11,1739,3606
Andhra Pradesh,Rangareddi,2025-12,1848,5218
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03,110,172
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-04,519,369
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05,1371,603
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-06,1231,653
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-07,370,446
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,299,319
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,1008,224
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,1036,300
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,724,381
Andhra Pradesh,Sri Sathya Sai,2025-03,738,463
Andhra Pradesh,Sri Sathya Sai,2025-04,690,395
Andhra Pradesh,Sri Sathya Sai,2025-05,1043,738
Andhra Pradesh,Sri Sathya Sai,2025-06,1080,724
Andhra Pradesh,Sri Sathya Sai,2025-07,179,268
Andhra Pradesh,Sri Sathya Sai,2025-09,185,412
Andhra Pradesh,Sri Sathya Sai,2025-10,738,439
Andhra Pradesh,Sri Sathya Sai,2025-11,577,567
Andhra Pradesh,Sri Sathya Sai,2025-12,474,705
Andhra Pradesh,Srikakulam,2025-03,22984,6997
Andhra Pradesh,Srikakulam,2025-04,29521,7659
Andhra Pradesh,Srikakulam,2025-05,15311,7444
Andhra Pradesh,Srikakulam,2025-06,15707,9101
Andhra Pradesh,Srikakulam,2025-07,6285,8992
Andhra Pradesh,Srikakulam,2025-09,3417,5782
Andhra Pradesh,Srikakulam,2025-10,11802,6536
Andhra Pradesh,Srikakulam,2025-11,11031,6435
Andhra Pradesh,Srikakulam,2025-12,9120,8483
Andhra Pradesh,Tirupati,2025-03,268,382
Andhra Pradesh,Tirupati,2025-04,560,571
Andhra Pradesh,Tirupati,2025-05,1071,828
Andhra Pradesh,Tirupati,2025-06,935,722
Andhra Pradesh,Tirupati,2025-07,375,586
Andhra Pradesh,Tirupati,2025-09,296,375
Andhra Pradesh,Tirupati,2025-10,658,331
Andhra Pradesh,Tirupati,2025-11,868,431
Andhra Pradesh,Tirupati,2025-12,602,539
Andhra Pradesh,Visakhapatnam,2025-03,21850,15143
Andhra Pradesh,Visakhapatnam,2025-04,44075,14418
Andhra Pradesh,Visakhapatnam,2025-05,28998,13737
Andhra Pradesh,Visakhapatnam,2025-06,29728,15240
Andhra Pradesh,Visakhapatnam,2025-07,11793,14744
Andhra Pradesh,Visakhapatnam,2025-09,9267,9802
Andhra Pradesh,Visakhapatnam,2025-10,12702,8441
Andhra Pradesh,Visakhapatnam,2025-11,20111,10754
Andhra Pradesh,Visakhapatnam,2025-12,16861,13639
Andhra Pradesh,Vizianagaram,2025-03,11966,6473
Andhra Pradesh,Vizianagaram,2025-04,21930,6001
Andhra Pradesh,Vizianagaram,2025-05,15557,6376
Andhra Pradesh,Vizianagaram,2025-06,13716,7158
Andhra Pradesh,Vizianagaram,2025-07,5872,7494
Andhra Pradesh,Vizianagaram,2025-09,2908,5242
Andhra Pradesh,Vizianagaram,2025-10,7728,5582
Andhra Pradesh,Vizianagaram,2025-11,11576,6105
Andhra Pradesh,Vizianagaram,2025-12,10043,8271
Andhra Pradesh,Warangal,2025-03,1215,4034
Andhra Pradesh,Warangal,2025-04,894,3169
Andhra Pradesh,Warangal,2025-05,1438,3458
Andhra Pradesh,Warangal,2025-06,1880,4117
Andhra Pradesh,Warangal,2025-07,1408,5794
Andhra Pradesh,Warangal,2025-09,1506,5246
Andhra Pradesh,Warangal,2025-10,2137,3776
Andhra Pradesh,Warangal,2025-11,1713,4116
Andhra Pradesh,Warangal,2025-12,1555,4302
Andhra Pradesh,West Godavari,2025-03,15662,9674
Andhra Pradesh,West Godavari,2025-04,26832,9379
Andhra Pradesh,West Godavari,2025-05,19992,9925
Andhra Pradesh,West Godavari,2025-06,21049,10030
Andhra Pradesh,West Godavari,2025-07,8673,10290
Andhra Pradesh,West Godavari,2025-09,4989,7097
Andhra Pradesh,West Godavari,2025-10,14249,6405
Andhra Pradesh,West Godavari,2025-11,15633,7745
Andhra Pradesh,West Godavari,2025-12,12900,9890
Andhra Pradesh,Y. S. R,2025-03,259,301
Andhra Pradesh,Y. S. R,2025-04,524,347
Andhra Pradesh,Y. S. R,2025-05,811,448
Andhra Pradesh,Y. S. R,2025-06,1094,590
Andhra Pradesh,Y. S. R,2025-07,308,388
Andhra Pradesh,Y. S. R,2025-09,215,353
Andhra Pradesh,Y. S. R,2025-10,585,237
Andhra Pradesh,Y. S. R,2025-11,678,288
Andhra Pradesh,Y. S. R,2025-12,709,473
Arunachal Pradesh,Anjaw,2025-03,55,79
Arunachal Pradesh,Anjaw,2025-04,68,53
Arunachal Pradesh,Anjaw,2025-05,89,101
Arunachal Pradesh,Anjaw,2025-06,50,58
Arunachal Pradesh,Anjaw,2025-07,60,79
Arunachal Pradesh,Anjaw,2025-09,50,28
Arunachal Pradesh,Anjaw,2025-10,34,24
Arunachal Pradesh,Anjaw,2025-11,184,36
Arunachal Pradesh,Anjaw,2025-12,85,38
Arunachal Pradesh,Changlang,2025-03,483,339
Arunachal Pradesh,Changlang,2025-04,490,258
Arunachal Pradesh,Changlang,2025-05,381,268
Arunachal Pradesh,Changlang,2025-06,386,288
Arunachal Pradesh,Changlang,2025-07,528,419
Arunachal Pradesh,Changlang,2025-09,762,514
Arunachal Pradesh,Changlang,2025-10,255,212
Arunachal Pradesh,Changlang,2025-11,1265,234
Arunachal Pradesh,Changlang,2025-12,886,215
Arunachal Pradesh,Dibang Valley,2025-03,15,41
Arunachal Pradesh,Dibang Valley,2025-04,11,11
Arunachal Pradesh,Dibang Valley,2025-05,33,25
Arunachal Pradesh,Dibang Valley,2025-06,19,17
Arunachal Pradesh,Dibang Valley,2025-07,16,17
Arunachal Pradesh,Dibang Valley,2025-09,10,9
Arunachal Pradesh,Dibang Valley,2025-10,27,5
Arunachal Pradesh,Dibang Valley,2025-11,168,24
Arunachal Pradesh,Dibang Valley,2025-12,14,9
Arunachal Pradesh,East Kameng,2025-03,189,244
Arunachal Pradesh,East Kameng,2025-04,333,168
Arunachal Pradesh,East Kameng,2025-05,306,228
Arunachal Pradesh,East Kameng,2025-06,228,194
Arunachal Pradesh,East Kameng,2025-07,195,191
Arunachal Pradesh,East Kameng,2025-09,396,263
Arunachal Pradesh,East Kameng,2025-10,280,154
Arunachal Pradesh,East Kameng,2025-11,564,117
Arunachal Pradesh,East Kameng,2025-12,199,48
Arunachal Pradesh,East Siang,2025-03,134,131
Arunachal Pradesh,East Siang,2025-04,191,112
Arunachal Pradesh,East Siang,2025-05,165,93
Arunachal Pradesh,East Siang,2025-06,127,121
Arunachal Pradesh,East Siang,2025-07,160,200
Arunachal Pradesh,East Siang,2025-09,152,96
Arunachal Pradesh,East Siang,2025-10,281,98
Arunachal Pradesh,East Siang,2025-11,539,133
Arunachal Pradesh,East Siang,2025-12,493,95
Arunachal Pradesh,Kamle,2025-06,10,15
Arunachal Pradesh,Kamle,2025-07,28,38
Arunachal Pradesh,Kamle,2025-09,6,17
Arunachal Pradesh,Kamle,2025-10,3,2
Arunachal Pradesh,Kamle,2025-11,8,12
Arunachal Pradesh,Kamle,2025-12,2,2
Arunachal Pradesh,Kra Daadi,2025-03,75,122
Arunachal Pradesh,Kra Daadi,2025-04,127,80
Arunachal Pradesh,Kra Daadi,2025-05,118,80
Arunachal Pradesh,Kra Daadi,2025-06,73,56
Arunachal Pradesh,Kra Daadi,2025-07,95,83
Arunachal Pradesh,Kra Daadi,2025-09,75,37
Arunachal Pradesh,Kra Daadi,2025-10,53,22
Arunachal Pradesh,Kra Daadi,2025-11,34,24
Arunachal Pradesh,Kra Daadi,2025-12,67,19
Arunachal Pradesh,Kurung Kumey,2025-03,93,536
Arunachal Pradesh,Kurung Kumey,2025-04,107,467
Arunachal Pradesh,Kurung Kumey,2025-05,128,328
Arunachal Pradesh,Kurung Kumey,2025-06,88,201
Arunachal Pradesh,Kurung Kumey,2025-07,178,308
Arunachal Pradesh,Kurung Kumey,2025-09,134,132
Arunachal Pradesh,Kurung Kumey,2025-10,118,51
Arunachal Pradesh,Kurung Kumey,2025-11,312,50
